"id","name","content","user_id","created_at","updated_at","picture_file_name","picture_content_type","picture_file_size","picture_updated_at","tags"
1,"Rode kool op grootmoeders wijze","Dit is een klassiek rode kool met appeltjes recept dat je lekker lang moet stoven in een vuurvaste pan.&nbsp;<br><br><i>Waarschuwing: Als je dit 1x geproefd hebt eet je nooit meer rode kool uit een potje of zakje.</i>&nbsp;<br><br><b>Bereiding</b><br>Fruit het gesnipperde uitje een paar minuten in wat olijfolie. Begin ondertussen te snijden aan de rode kool, de witte kern aan de onderkant gooi je weg, snij zo dun mogelijke reepjes waarbij je grotere witte stukken het beste er tussen uit kan halen. Meestal snij ik de kool van te voren al in 4 gedeeltes.&nbsp;<br><br>Blus de uitjes af met de wijnazijn en voeg de basterd suiker toe terwijl je goed roert. Zet het vuur op een laag pitje en voeg de rode kool toe. Dit hoeft niet direct in 1x, ik snij meestal nog terwijl ik reeds gesneden kool toevoeg aan de pan. Roer af en toe om aanbakken van het suiker, ui en azijn mengsel te voorkomen. Wanneer de kool er helemaal in zit voeg je, geschild en in blokjes, 3 of 4 goud reinet appels toe. Voeg een snufje zout toe en eventueel een heel klein beetje peper. Nu kun je kiezen of je wat water of appelsap wil toevoegen een half glas is meer dan voldoende. Ook doe ik nu meestal de speculaas kruiden en de gemalen kruidnagel erbij.&nbsp;<br><br>Stoof het geheel met de deksel bijna helemaal op de pan minstens 1 uur. Doe er in de laatste 15 minuten de port en een scheutje balsamico bij. Voor de beste smaakbeleving laat je de rode kool na het stoven ca 15 minuten met de deksel op de pan afkoelen met het vuur uit.<br><br>Smakelijk eten!",1,"2014-06-20 20:54:36.841741","2014-06-21 14:48:06.709365","","","","",""
2,"Tomaten soep","<p>Laat 50 g uisnippers in 30 g boter zweten. Voeg 1kg gepelde, ontpitte en kleingesneden tomaten, 1 uitgeperste teentje knoflook, 1 klein bouquet garni, zout en peper toe.&nbsp;</p><p>Stoof alles 20 minuten op laag vuur. Roer er 100 g rijst door en voeg 1½ liter kokende blanke kippenfond toe. Kook de rijst in 25 minuten helemaal gaar; roer af en toe. Verwijder het bouquet garni.&nbsp;</p><p>Pureer de soep met een elektrische mixer of werk hem door de groentemolen met de fijnste schijf. Breng hem weer aan de kook en breng hem op smaak. Roer er voor het opdienen nog wat klontjes boter door en bestrooi hem met fijngehakt basilicum of fijngehakte peterselie.&nbsp;</p><p>Dien de tomatensoep op met kleine, met knoflook ingewreven en in olijfolie gebakken croutons.<br></p>",1,"2014-06-21 14:42:02.027354","2015-01-03 20:24:49.216806","Home_Cooking_tomatensoep.jpg","image/jpeg",93076,"2015-01-03 20:24:48.325791",""
3,"Wortelsap","Ingrediënten:<br><div><div>3 wortels</div><div>0,5 appel</div><div>0,5 sinaasappel</div><div>0,25 rode biet</div><div>1 stengel bleekselderij</div><div>2 grote boerenkoolbladeren</div></div><div><br>Bereiding:<br>Boen de wortels schoon, schrap ze en snijd in stukken. Spoel de appel, verwijder het steeltje en snijd aan stukken. Pel de sinaasappel en snijd het vruchtvlees aan stukken. Kook de biet, pel hem en snijd aan stukken. Was de bleekselderij, verwijder de draden en snijd aan stukken. Was en snijd de koolbladeren in stukken. Doe alle ingrediënten in de sapcentrifuge en mix alle smaken goede door elkaar.<br></div>",2,"2014-06-23 12:08:31.212686","2015-01-05 15:40:55.569905","wortelsap.jpg","image/jpeg",738005,"2015-01-05 15:40:53.831507",""
5,"Penne met broccoli boursin saus","<b>Ingredienten:</b><br>1-2 Broccoli in kleine roosjes<br>400 gram prei<br>150 gram boursin<br>350 gram Penne<br><br><b>Bereiding:</b><br>Een super snel vegetarisch gerechtje.<br><br>Pak een WOK en roerbak daarin kort de broccoli voeg een klein beetje water toe en dek de broccoli af met een deksel zodat deze gaar kan stomen. Indien je een afwasmachine hebt kun je ook de broccoli &nbsp; even kort blancheren en die vervolgens in de wok doen. Kook ondertussen de Penne al dente gaar. Voeg 400 gram prei toe aan de broccoli op het moment dat deze bijna gaar is, na een minuut of 2 doen je dan 150gram boursin erbij en wanneer dat een beetje gesmolten is (goed roeren) voeg je de afgegoten pasta toe. Uiteraard even op smaak brengen met wat zout en peper en opdienen.<br>",1,"2014-06-25 21:42:12.971331","2014-06-25 21:43:19.731105","","","","",""
6,"Fish 'n Chips","<div><b>Ingrediënten:</b></div><div>800 g aardappels<br></div><div>1 &nbsp;norivel</div><div>1 tl cayennepeper</div><div>1 tl gemalen witte peper</div><div>1 tl gemalen zwarte peper</div><div>1 el witte sesamzaadjes</div><div>1 &nbsp;ei</div><div>1 &nbsp;rode ui</div><div>1 &nbsp;mango</div><div>1 &nbsp;appel (Elstar)</div><div>0.5 bosje koriander</div><div>200 ml yoghurt</div><div>200 g bloem<br></div><div>200 ml bier</div><div>1 &nbsp;ei</div><div>2 tl komijnpoeder</div><div>500 g kabeljauwfilet</div><div>50 g bloem<br><br><b>Bereiding:</b><br><div><i>Caribisch friet</i></div><div>Verwarm de frituurpan voor op 140 °C.</div><div>Schil en snijd de aardappels in frietvorm, was het zetmeel eraf en dep de aardappels goed droog met keukenpapier. Frituur de aardappels in circa 5 minuten gaar zonder te kleuren. Haal de aardappels uit de frituur en laat ze goed afkoelen.&nbsp;</div><div>Verwarm de frituurpan voor op 180 °C.</div><div>Frituur de aardappels in circa 3 minuten goudbruin. Verkruimel het norivel zo fijn mogelijk, meng met de verschillende soorten peper en de sesamzaadjes en bestrooi de friet ermee.</div><div><br></div><div><i>Fruitig sausje</i></div><div>Breng een pan met water en een beetje zout aan de kook en kook het ei in circa 10 minuten hard. Giet het ei af en spoel koud. Pel het ei en wrijf door een zeef.&nbsp;</div><div>Pel en snipper de ui. Schil en snijd de mango en de appel in blokjes. Snijd de koriander met steel en al fijn. Meng alle ingrediënten met de yoghurt.</div><div><br></div><div><i>Bierbeslag</i></div><div>Maak een bierbeslag van bloem, bier, ei en komijnpoeder.</div><div><br></div><div><i>Fish</i></div><div>Snijd de vis in reepjes van circa 10 centimeter lang en wentel ze door de bloem.</div><div>Wentel de vis vervolgens door het beslag en frituur ze in circa 2 minuten goudbruin en gaar.</div><div><br></div><div>Serveer de fish en chips met het fruitig sausje.</div></div>",2,"2014-06-26 14:11:29.917587","2015-01-05 15:43:26.596339","fishnchips.jpg","image/jpeg",3762028,"2015-01-05 15:43:20.484068",""
7,"Paddestoelensoep","<b>Ingredienten</b><br><div>handje gedroogde eekhoorntjesbrood</div><div>olijfolie</div><div>600 g gemenge wilde paddestoelen (cantharellen, hanenkammen, trompettes de la mort, shii-takes, oesterzwammen), schoongemaakt en in plakjes gesneden</div><div>2 tenen knoflook, gepeld en in dunne plakjes gesneden</div><div>1 rode ui, gepeld en fijngehakt</div><div>klont boter</div><div>handvol verse tijm, alleen de blaadjes</div><div>zeezout en zwarte peper uit de molen</div><div>1 liter bouillon (kip of groente) <br>2 eetlepels mascarpone</div><div>handvol verse bladpeterselie, alleen de blaadjes, grof gehakt</div><div>desgewenst truffelolie</div><br><b>Bereiding:</b><br>Leg het eekhoorntjesbrood in een klein bakje, giet er zoveel kokend water op dat de paddestoelen onderstaan en laat ze wellen. Hak de helft ervan fijn. Neem een grote braadpan, zet die op het vuur tot hij goed heet is, doe er een paar scheuten olijfolie in en vervolgens de verse paddestoelen. Roerbak ze op hoog vuur een minuut en doe er de knoflook, ui, boter en tijm bij, plus wat zout en peper. Na ongeveer een minuut zul je zien dat er vocht uit de paddestoelen begint te lopen. Op dat moment mag het fijngehakte eekhoorntjesbrood erbij en ook de grotere stukken mogen in de pan. Zeef het weekwater zodat er geen gruis meer in zit en giet ook dat erbij. Laat het mengsel nog ongeveer 20 minuten bakken, tot het meeste vocht verdampt is.<br><br>Breng het mengsel op smaak en giet er de bouillon bij. Laat het aan de kook komen en 20 minuten op laag vuur koken. Dan pureer ik meestal de helft van de soep in de keukenmachine, giet die puree terug in de pan en doe de mascarpone en peterselie erbij. Wees voorzichtig met het toevoegen van peper en zout.<br><br>Je kunt deze soep serveren zoals je wilt, maar ik geef je een paar tips die de moeite waard zijn. Meng een snufje zout en peper met de schil van een citroen en het sap van de helft van de citroen en schep dit mengsel in het midden van de soep. Als je dat er vlak voor het serveren doorheen roert, geeft het een verrukkelijke smaak aan de soep. Dit gerecht is nog verder op te spicen door een stokbrood in stukken te snijden en er dan wat zelfgemaakte knoflookboter op te strijken waarna je de stukken brood ca. 8 minuten onder de grill legt.",1,"2014-06-28 00:34:46.840827","2014-06-28 00:35:12.241513","","","","",""
8,"Belgisch stoofvlees","<div>Dit is een makkelijk te maken gerecht. Je kunt het van tevoren maken, zodat je het vlees alleen nog maar hoeft op te warmen als je de frieten maakt. Neem dan niet te lang de tijd voor het opwarmen, want dan wordt het vlees te droog. Beter is het nog het laatste halve uur het vuur uit te zetten en het vlees op de dag van serveren dan nog eens een half uurtje laten pruttelen.&nbsp; Voeg dan wel meteen een glas water toe en vergeet niet te roeren (anders koekt het aan). Het beste kun je gewoon een sixpack Westmalle kopen dan heb je ook wat te drinken tijdens het lange wachten :)</div><div><br><b>Ingredienten:</b></div><div>1 sneetje witbrood, zonder korst, besmeerd aan 1 kant met 1 eetlepel scherpe mosterd</div><div>800 gram magere runderlappen, in grove stukken gesneden</div><div>5 uien, gesnipperd</div><div>40 gram boter</div><div>2 flesje Westmalle dubbel (of gewoon donkerbruin bier)</div><div>100 milliliter vleesbouillon</div><div>3 laurier&nbsp;blaadjes</div><div>2 kruidnagels<br></div><div>Peper en zout<br>Stukje peperkoek of donkere chocolade</div><div><br><b>Bereiding:</b></div><div>Verhit de boter in een pan en schroei het vlees in ongeveer 5 minuten rondom dicht. Doe dit bij voorkeur in wat kleine porties.&nbsp;Schep het vlees uit de pan en zet het even opzij. Fruit in de pan de ui met wat extra boter. Doe het vlees terug. Voeg laurier, kruidnagels en tijm toe. Schenk het bier en de bouillon erbij. Breng dit aan de kook. Leg er dan de boterhammen met de mosterdkant naar beneden op. Laat het vervolgens minstens 2, maar eerder 3 uur stoven op zeer laag vuur, tot het vlees uit elkaar valt. De deksel van de pan niet helemaal sluiten wanty het is de bedoeling dat het een beetje inkookt.&nbsp;Als het vlees te droog wordt, kun je een beetje water toevoegen. Blijf ook roeren, want vooral aan het einde&nbsp;kan het gaan plakken op de bodem van de pan. Ik vind het lekker als het helemaal stuk gekookt wordt, maar anderen vinden het lekkerder als het nog in stukken herkenbaar is. <br><br>Doe er in de laatste 20 minuten ook de peperkoek of de chocolade bij en laat dit zover mogelijk oplossen.<br><br>Breng het stoofvlees als het nodig is verder op smaak met peper en eventueel wat zout.<br><br>Lekker met patatekes en zelfgemaakt mayo.<br></div>",1,"2014-06-28 00:44:28.23808","2015-01-03 20:20:35.312223","tb-2011-04-19.jpg","image/jpeg",202687,"2015-01-03 20:20:33.328945",""
9,"Gehaktbrood met tomatensaus","<div><b>Ingredienten:</b><br>500 gram rundergehakt</div><div>12 plakken mager rookspek of pancetta</div><div>2 blikken tomatenblokjes (2x 400 gram)</div><div>1 blik kikkererwten (400 gram), uitgelekt</div><div>2 uien</div><div>1 citroen</div><div>1 ei</div><div>2 tenen knoflook, in dunne plakjes</div><div>0,5 – 1 rode Spaanse peper, in dunne ringetjes</div><div>2 takjes rozemarijn</div><div>olijfolie</div><div>12 creamcrackers (of tuc koekjes)</div><div>2 eetlepels worcestersaus</div><div>2 eetlepels balsamicoazijn</div><div>2 theelepels oregano</div><div>2 theelepels dijonmosterd</div><div>1 theelepel gerookt paprikapoeder</div><div>1 theelepel gemalen koriander</div><div>1 theelepel gemalen komijn</div><div>zeezout en zwarte peper uit de molen, naar smaak<br><b><br>Het gehaktbrood:</b><b><br></b><ol><li>Verwarm de oven voor op de hoogste stand</li><li>Pel 1 ui en hak hem fijn. Verhit 2 scheuten olijfolie in een koekenpan. Bak de gehakte uit met een snufje zout en peper op matig hoog vuur. Voeg koriander en komijn toe. Bak 7 minuten, terwijl je elke 30 seconden roert, tot de stukje ui zacht en goudbruin zijn. Doe ze vervolgens in een grote kom en laat afkoelen</li><li>Doe de crackers in een theedoek, stamp ze fijn en breek de grootste stukjes klein met je handen. Doe de kruimels met oregano, mosterd en gehakt bij de afgekoelde uien in de kom. Breek het ei erbij en strooi er nog een flinke snuf zout en peper op. Kneed en wrijf alles door elkaar. Leg het vleesmengsel op een plank en kneed en rol het tot een soort grote rugbybal. Wrijf de bal in met een beetje olie.</li><li>Leg het vlees in een braadpan of ovenschaal, zet die in de voorverwarmde oven en verlaag de temperatuur onmiddellijk tot 200 graden of gasovenstand 4. Bak het gehaktbrood een halfuur.</li></ol><b>De saus:</b></div><ol><li>Pel de andere ui en hak deze in grove snippers.</li><li>Zet uien, knoflook en peper met 2 flinke scheuten olijfolie, het paprikapoeder en een snufje zout en peper in een grote pan op matig hoog vuur. Bak 7 minuten en roer elke 30 seconden. Voeg de worcestersaus, kikkererwten, tomaten en balsamicoazijn toe. Laat aan de kook komen, zet het vuur laag en laat de saus 10 minuten zachtjes pruttelen.</li><li>Proef en voeg zo nodig nog wat extra zout en peper toe.</li></ol><b>Afmaken</b><ol><li>Pluk de rozemarijnnaaldjes van de takjes en doe ze in een kommetje. Haal het gehaktbrood uit de oven, gier het vet uit de pan bij de rozemarijn en roer.</li><li>Schep de saus om het gehaktbrood heen. Leg het spek over het gehaktbrood en de saus. Verdeel er de rozemarijn over. Zet de pan nog 10 tot 15 minuten in de oven, tot het spek goudbruin is.</li></ol><p>Serveer er een gemengde salade bij en wat witte rijst.</p>",1,"2014-06-28 00:56:49.248809","2015-01-03 20:11:29.708998","5893-gehaktbrood.jpg","image/jpeg",136795,"2015-01-03 20:11:28.918033",""
10,"string PastaCarbonara (1 persoon);","<p>

</p><p>Implementation:</p><p>string&nbsp;PastaCarbonara (int nrPersonen::1
) </p><p>{</p><p>

</p><p>&nbsp;&nbsp;//local variables:</p><p>

</p><p>- Pasta (Vers &nbsp;koeling 2a3min)</p><p>

</p><p>- ½ zakje kaassnippers Italiaanse
kaas voorde pasta (uniekaas rood of geel zakje a 80 gr)?</p><p>

</p><p>- 1 ei</p><p>

</p><p>- scheutje room (2
eetlepels? ) (is eigenlijk verboden volgens de Italianen)</p><p>

</p><p>- 1 klein bakje gerookt
spek (125gr) </p><p>

</p><p>- 1 teentje knoflook fijn</p><p>

</p><p>- ½ uitje gesnipperd</p><p>

</p><p>- Scheutje (5cc) witte
wijn</p><p>

</p><p>- Peper</p><p>

</p><p>- Peterselie (fijngehakt)</p><p>

</p><p>&nbsp;//procedure:</p><p>

</p><p>Bak de spekjes rustig. overtollig
vet eventueel verwijderen. Uitje en knoflookje erbij , vuur laag draaien en
voorzichtig afblussen met scheutje witte wijn (let op vet en water) en vocht iets
rustig wat laten inkoken op klein pitje .</p><p>

</p><p>&nbsp;</p><p>

</p><p>Ondertussen eitje los
roeren in kommetje en goed mengen met de geraspte kaas en scheutje room.</p><p>

</p><p>&nbsp;</p><p>

</p><p>Als pasta gaar is, &nbsp;afgieten (maar niet afspoelen). De pasta mag
nog wat vochtig blijven, hierdoor hecht de saus mooi). Als de spek en ui in
inmiddels niet te heeft zijn, vuur uit , pasta erbij,&nbsp; en het ei/kaas mengsel er goed door mengen . Verse
paper uit de molen naar smaak en direct serveren met wat fijngehakte
peterselie. </p><p>// post conditions</p><p>

</p><p>&nbsp;return(Bonappetiettow)</p><p>}</p><p>

</p>",4,"2014-08-19 16:25:20.75058","2014-08-19 16:25:20.75058","","","","",""
11,"Spaghetti Alla Carbonara","Dit gerecht kun je in ca 10 minuten klaar hebben ideaal dus :)<br><br><b>Benodigdheden:<br></b>75-100g spekblokjes of echte pancetta<br>50g Parmezaanse kaas<br>5el room<br>5 eierdooiers<br>half pak goeie pasta (met ei erin)<br>optioneel: 1 knoflook teen<br><br><b>Bereiding:<br></b>Zet een ruime pan water op voor de pasta, wanneer het water bijna kookt bak je in koekepan de spek uit, voeg eventueel de teen knoflook toe. Wanneer het water kookt doe je spaghetti erin en kook je ze al dente 7-8 minuten.<br><b><br></b>Tijdens dit proces doe je de 5 eierdooiers de room en de helft van de parmezaanse kaas in een kommetje en klop je dit met een vork&nbsp;op totdat het een beetje luchtig is. Kruid af met wat peper en eventueel wat zout.<br><b><br></b>Wanneer de pasta klaar giet je ze af en voeg je ze toe aan de spekjes in de koekepan. De teen knoflook haal je er dan uit en gooi je weg. Zet het vuur van de koekepan uit en voeg het eier, room, kaas mengsel toe en roer een paar keer goed totdat het ei een beetje begint te stollen.<br><b><br></b>Serveer het met de rest van de parmezaanse kaas.<b><br></b>",1,"2014-08-19 21:09:19.450088","2015-01-03 20:09:18.869821","Carbonara.jpg","image/jpeg",324280,"2015-01-03 20:09:17.641442",""
